,index,Package,Date,Low Price,High Price,price,month
0,70,1 1/9 bushel cartons,9/24/16,15.0,15.0,12.149999999999999,9
1,71,1 1/9 bushel cartons,9/24/16,18.0,18.0,14.579999999999998,9
2,72,1 1/9 bushel cartons,10/1/16,18.0,18.0,14.579999999999998,10
3,73,1 1/9 bushel cartons,10/1/16,17.0,17.0,13.769999999999998,10
4,74,1 1/9 bushel cartons,10/8/16,15.0,15.0,12.149999999999999,10
5,75,1 1/9 bushel cartons,10/8/16,18.0,18.0,14.579999999999998,10
6,76,1 1/9 bushel cartons,10/8/16,17.0,17.0,13.769999999999998,10
7,77,1 1/9 bushel cartons,10/8/16,17.0,18.5,14.3775,10
8,78,1 1/9 bushel cartons,10/15/16,15.0,15.0,12.149999999999999,10
9,79,1 1/9 bushel cartons,10/15/16,17.0,17.0,13.769999999999998,10
10,80,1 1/9 bushel cartons,10/15/16,17.0,18.5,14.3775,10
11,81,1 1/9 bushel cartons,10/22/16,15.0,15.0,12.149999999999999,10
12,82,1 1/9 bushel cartons,10/22/16,17.0,17.0,13.769999999999998,10
13,83,1 1/9 bushel cartons,10/22/16,17.0,18.5,14.3775,10
14,84,1 1/9 bushel cartons,10/29/16,15.0,15.0,12.149999999999999,10
15,85,1 1/9 bushel cartons,10/29/16,16.0,17.0,13.364999999999998,10
16,86,1 1/9 bushel cartons,10/29/16,16.0,18.0,13.769999999999998,10
17,87,1 1/9 bushel cartons,9/16/17,18.0,18.0,14.579999999999998,9
18,88,1 1/9 bushel cartons,9/23/17,16.0,16.0,12.959999999999997,9
19,89,1 1/9 bushel cartons,9/23/17,18.0,18.0,14.579999999999998,9
20,90,1 1/9 bushel cartons,9/23/17,16.0,16.0,12.959999999999997,9
21,91,1 1/9 bushel cartons,9/30/17,16.0,16.0,12.959999999999997,9
22,92,1 1/9 bushel cartons,9/30/17,16.0,16.0,12.959999999999997,9
23,123,1/2 bushel cartons,9/24/16,18.0,18.0,36.0,9
24,124,1/2 bushel cartons,9/24/16,15.0,15.0,30.0,9
25,125,1/2 bushel cartons,10/1/16,18.0,18.0,36.0,10
26,126,1/2 bushel cartons,10/1/16,15.0,15.0,30.0,10
27,127,1/2 bushel cartons,10/1/16,17.0,17.0,34.0,10
28,128,1/2 bushel cartons,10/8/16,15.0,15.0,30.0,10
29,129,1/2 bushel cartons,10/8/16,15.0,18.0,33.0,10
30,130,1/2 bushel cartons,10/8/16,16.0,17.0,33.0,10
31,131,1/2 bushel cartons,10/8/16,16.0,18.0,34.0,10
32,132,1/2 bushel cartons,10/15/16,15.0,15.0,30.0,10
33,133,1/2 bushel cartons,10/15/16,15.0,15.0,30.0,10
34,134,1/2 bushel cartons,10/15/16,16.0,17.0,33.0,10
35,135,1/2 bushel cartons,10/15/16,16.0,18.0,34.0,10
36,136,1/2 bushel cartons,10/22/16,15.0,15.0,30.0,10
37,137,1/2 bushel cartons,10/22/16,15.0,15.0,30.0,10
38,138,1/2 bushel cartons,10/22/16,16.0,17.0,33.0,10
39,139,1/2 bushel cartons,10/22/16,16.0,18.0,34.0,10
40,140,1/2 bushel cartons,10/29/16,15.0,17.0,32.0,10
41,141,1/2 bushel cartons,10/29/16,15.0,15.0,30.0,10
42,142,1/2 bushel cartons,10/29/16,16.0,17.0,33.0,10
43,143,1/2 bushel cartons,10/29/16,16.0,18.0,34.0,10
